[root@ip-10-0-4-142 ec2-user]# netstat -a --numeric-ports
Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address               Foreign Address             State
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:57692 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:60970 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:51904 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west-:9222 CLOSE_WAIT
tcp      142      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:62876 ESTABLISHED
tcp      142      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:64962 ESTABLISHED
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-220.us-west:23502 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-220.us-west:23142 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:21526 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:57828 CLOSE_WAIT
tcp     1179      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west-:1968 CLOSE_WAIT
tcp      142      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:24436 ESTABLISHED
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:46358 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:55032 CLOSE_WAIT
tcp     1045      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west-:2024 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:49222 CLOSE_WAIT
tcp     1032      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west-:2046 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-220.us-west:22678 CLOSE_WAIT
tcp      142      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west-:4006 ESTABLISHED
